region_name,county_name,parish_name,candidate_name,candidate_votes_percentage,candidate_votes_count,parish_voters_percentage,parish_voters_count,parish_blank_percentage,parish_blank_count,parish_null_percentage,parish_null_count
Açores,Angra do Heroísmo,Doze Ribeiras,Marisa Matias,3.17,6,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,João Ferreira,3.17,6,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,Tiago Mayan Gonçalves,1.06,2,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Doze Ribeiras,Vitorino Silva,1.06,2,43.26,199,3.52,7,1.51,3
Açores,Angra do Heroísmo,Feteira,Marcelo Rebelo de Sousa,70.74,423,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Feteira,André Ventura,10.87,65,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Feteira,Ana Gomes,9.2,55,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Feteira,Marisa Matias,3.01,18,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Feteira,Vitorino Silva,2.68,16,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Feteira,Tiago Mayan Gonçalves,1.84,11,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Feteira,João Ferreira,1.67,10,50.08,613,1.63,10,0.82,5
Açores,Angra do Heroísmo,Porto Judeu,Marcelo Rebelo de Sousa,74.85,613,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Porto Judeu,Ana Gomes,9.65,79,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Porto Judeu,André Ventura,7.57,62,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Porto Judeu,Marisa Matias,3.54,29,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Porto Judeu,Vitorino Silva,1.83,15,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Porto Judeu,Tiago Mayan Gonçalves,1.47,12,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Porto Judeu,João Ferreira,1.1,9,35.08,835,1.2,10,0.72,6
Açores,Angra do Heroísmo,Posto Santo,Marcelo Rebelo de Sousa,69.98,296,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Posto Santo,Ana Gomes,10.87,46,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Posto Santo,André Ventura,8.98,38,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Posto Santo,Marisa Matias,3.55,15,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Posto Santo,Tiago Mayan Gonçalves,2.6,11,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Posto Santo,Vitorino Silva,2.6,11,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Posto Santo,João Ferreira,1.42,6,46.79,437,1.83,8,1.37,6
Açores,Angra do Heroísmo,Raminho,Marcelo Rebelo de Sousa,79.21,160,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Raminho,Ana Gomes,7.92,16,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Raminho,Marisa Matias,3.96,8,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Raminho,André Ventura,3.96,8,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Raminho,Tiago Mayan Gonçalves,2.48,5,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Raminho,João Ferreira,1.49,3,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Raminho,Vitorino Silva,0.99,2,40.79,206,0.97,2,0.97,2
Açores,Angra do Heroísmo,Ribeirinha,Marcelo Rebelo de Sousa,75.98,737,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Ribeirinha,André Ventura,11.03,107,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Ribeirinha,Ana Gomes,6.6,64,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Ribeirinha,Marisa Matias,2.68,26,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Ribeirinha,Tiago Mayan Gonçalves,1.75,17,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Ribeirinha,Vitorino Silva,1.55,15,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Ribeirinha,João Ferreira,0.41,4,42.04,1004,1.79,18,1.59,16
Açores,Angra do Heroísmo,Santa Bárbara,Marcelo Rebelo de Sousa,78.91,378,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,Santa Bárbara,André Ventura,8.77,42,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,Santa Bárbara,Ana Gomes,6.05,29,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,Santa Bárbara,Marisa Matias,3.55,17,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,Santa Bárbara,Vitorino Silva,1.46,7,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,Santa Bárbara,Tiago Mayan Gonçalves,0.63,3,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,Santa Bárbara,João Ferreira,0.63,3,39.66,493,1.01,5,1.83,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Marcelo Rebelo de Sousa,74.63,550,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Ana Gomes,9.23,68,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,André Ventura,8.68,64,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Marisa Matias,3.66,27,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Tiago Mayan Gonçalves,1.49,11,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Vitorino Silva,1.36,10,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bartolomeu de Regatos,João Ferreira,0.95,7,41.97,755,1.19,9,1.19,9
Açores,Angra do Heroísmo,São Bento,Marcelo Rebelo de Sousa,65.46,523,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Bento,Ana Gomes,13.89,111,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Bento,André Ventura,9.14,73,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Bento,Marisa Matias,4.38,35,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Bento,Tiago Mayan Gonçalves,3.38,27,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Bento,Vitorino Silva,2.13,17,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Bento,João Ferreira,1.63,13,45.57,813,1.23,10,0.49,4
Açores,Angra do Heroísmo,São Mateus da Calheta,Marcelo Rebelo de Sousa,65.77,832,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,São Mateus da Calheta,Ana Gomes,12.81,162,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,São Mateus da Calheta,André Ventura,8.54,108,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,São Mateus da Calheta,Marisa Matias,4.82,61,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,São Mateus da Calheta,João Ferreira,3.0,38,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,São Mateus da Calheta,Tiago Mayan Gonçalves,2.53,32,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,São Mateus da Calheta,Vitorino Silva,2.53,32,37.33,1308,1.99,26,1.3,17
Açores,Angra do Heroísmo,Serreta,Marcelo Rebelo de Sousa,82.61,114,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Serreta,André Ventura,7.97,11,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Serreta,Ana Gomes,4.35,6,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Serreta,João Ferreira,2.9,4,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Serreta,Marisa Matias,1.45,2,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Serreta,Vitorino Silva,0.72,1,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Serreta,Tiago Mayan Gonçalves,0.0,0,38.33,138,0.0,0,0.0,0
Açores,Angra do Heroísmo,Terra Chã,Marcelo Rebelo de Sousa,69.18,669,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Terra Chã,Ana Gomes,11.17,108,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Terra Chã,André Ventura,9.31,90,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Terra Chã,Marisa Matias,3.72,36,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Terra Chã,Tiago Mayan Gonçalves,2.9,28,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Terra Chã,Vitorino Silva,2.07,20,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Terra Chã,João Ferreira,1.65,16,37.87,998,2.1,21,1.0,10
Açores,Angra do Heroísmo,Vila de São Sebastião,Marcelo Rebelo de Sousa,79.97,591,36.51,755,0.93,7,1.19,9
Açores,Angra do Heroísmo,Vila de São Sebastião,André Ventura,7.17,53,36.51,755,0.93,7,1.19,9
Açores,Angra do Heroísmo,Vila de São Sebastião,Ana Gomes,6.36,47,36.51,755,0.93,7,1.19,9
Açores,Angra do Heroísmo,Vila de São Sebastião,Tiago Mayan Gonçalves,2.44,18,36.51,755,0.93,7,1.19,9
Açores,Angra do Heroísmo,Vila de São Sebastião,Marisa Matias,1.89,14,36.51,755,0.93,7,1.19,9
Açores,Angra do Heroísmo,Vila de São Sebastião,Vitorino Silva,1.49,11,36.51,755,0.93,7,1.19,9
Açores,Angra do Heroísmo,Vila de São Sebastião,João Ferreira,0.68,5,36.51,755,0.93,7,1.19,9
Açores,Calheta,Calheta,Marcelo Rebelo de Sousa,70.89,319,35.01,459,1.53,7,0.44,2
